DataStore,type,n_reads,n_reads_fem_rDNA, per_reads_fem_rDNA ,n_calls,n_calls_fem_rDNA,met_rDNA,sex
Zf_01d_Control_A,control,3616,2,0.055,10388,25,88,pool
Zf_01d_Control_B,control,7897,3,0.038,22572,38,52.632,pool
Zf_01d_Control_C,control,5277,4,0.076,14405,50,56,pool
Zf_01d_PGC_A,egfp,4511,4,0.089,12286,61,37.705,pool
Zf_01d_PGC_B,egfp,4193,2,0.048,11618,15,0,pool
Zf_01d_PGC_C,egfp,4551,3,0.066,12899,55,45.455,pool
Zf_02d_Control_A,control,18098,10,0.055,48721,120,61.667,pool
Zf_02d_Control_B,control,60510,12,0.02,163870,168,69.048,pool
Zf_02d_Control_C,control,45668,12,0.026,128915,111,79.279,pool
Zf_02d_PGC_A,egfp,24111,14,0.058,65616,165,43.636,pool
Zf_02d_PGC_B,egfp,3893,3,0.077,10757,43,32.558,pool
Zf_02d_PGC_C,egfp,11442,5,0.044,33056,69,53.623,pool
Zf_04d_Control_A,control,32419,21,0.065,90480,266,72.18,pool
Zf_04d_Control_B,control,7154,3,0.042,20658,41,48.78,pool
Zf_04d_Control_C,control,7935,10,0.126,23310,152,65.132,pool
Zf_04d_PGC_A,egfp,8098,1,0.012,22793,21,52.381,pool
Zf_04d_PGC_B,egfp,3972,5,0.126,11860,70,61.429,pool
Zf_04d_PGC_C,egfp,5061,2,0.04,14267,25,88,pool
Zf_07d_Control_A,control,8705,6,0.069,24214,75,68,pool
Zf_07d_Control_B,control,4837,2,0.041,13066,27,77.778,pool
Zf_07d_Control_C,control,6006,0,0,15631,0,0,pool
Zf_07d_PGC_A,egfp,5025,3,0.06,13544,32,56.25,pool
Zf_07d_PGC_B,egfp,9303,5,0.054,25085,58,72.414,pool
Zf_07d_PGC_C,egfp,4879,4,0.082,12976,40,82.5,pool
Zf_11d_Control_A,control,4027,3,0.074,11481,49,71.429,pool
Zf_11d_Control_B,control,5922,1,0.017,16527,20,75,pool
Zf_11d_Control_C,control,6430,3,0.047,17565,40,80,pool
Zf_11d_PGC_A,egfp,4499,1,0.022,12606,6,0,pool
Zf_11d_PGC_B,egfp,16480,6,0.036,44079,74,44.595,pool
Zf_11d_PGC_C,egfp,3648,3,0.082,10266,30,56.667,pool
Zf_14d_Control_A,control,5578,3,0.054,14552,40,75,pool
Zf_14d_Control_B,control,10152,4,0.039,26819,59,86.441,pool
Zf_14d_Control_C,control,10498,1,0.01,27023,12,91.667,pool
Zf_14d_PGC_A,egfp,3214,1,0.031,8735,17,0,pool
Zf_14d_PGC_B,egfp,6209,2,0.032,16390,39,76.923,pool
Zf_14d_PGC_C,egfp,3786,4,0.106,10082,48,91.667,pool
Zf_21d_Control_A,control,8462,3,0.035,24809,38,63.158,pool
Zf_21d_Control_B,control,4857,0,0,14315,0,0,pool
Zf_21d_Control_C,control,18691,11,0.059,53016,129,86.047,pool
Zf_21d_PGC_A,egfp,4505,0,0,12494,0,0,pool
Zf_21d_PGC_B,egfp,6269,1,0.016,17940,18,100,pool
Zf_21d_PGC_C,egfp,11103,5,0.045,31802,58,63.793,pool
Zf_25d_Control_A,control,6287,4,0.064,18553,49,79.592,pool
Zf_25d_Control_B,control,11892,6,0.05,33136,85,80,pool
Zf_25d_Control_C,control,11171,8,0.072,32479,101,86.139,pool
Zf_25d_PGC_A,egfp,19322,37,0.191,55020,525,12.19,pool
Zf_25d_PGC_B,egfp,9526,10,0.105,26935,161,22.981,pool
Zf_25d_PGC_C,egfp,6721,0,0,17791,0,0,pool
Zf_28d_Control_A,control,4350,2,0.046,12600,37,86.486,pool
Zf_28d_Control_B,control,11063,0,0,30914,0,0,pool
Zf_28d_Control_C,control,6995,0,0,19570,0,0,pool
Zf_28d_PGC_A,egfp,23320,432,1.852,73161,6107,2.063,pool
Zf_28d_PGC_B,egfp,3495,55,1.574,10826,786,1.781,pool
Zf_28d_PGC_C,egfp,6408,214,3.34,21044,2787,1.256,pool
Zf_28d_PGC_D,egfp,3623,118,3.257,11814,1689,4.144,pool
Zf_28d_PGC_E,egfp,11654,977,8.383,44334,13609,1.506,pool
Zf_35d_F_Control_A,control,12883,6,0.047,33442,87,52.874,Female
Zf_35d_F_Control_B,control,6834,2,0.029,18339,26,92.308,Female
Zf_35d_F_Control_C,control,8081,1,0.012,22078,24,75,Female
Zf_35d_F_PGC_A,egfp,31483,590,1.874,91229,7957,2.727,Female
Zf_35d_F_PGC_B,egfp,27645,58,0.21,75659,750,16.8,Female
Zf_35d_F_PGC_C,egfp,3978,5,0.126,11109,80,0,Female
Zf_35d_M_Control_A,control,7301,0,0,19048,0,0,Male
Zf_35d_M_Control_B,control,13799,7,0.051,38864,67,47.761,Male
Zf_35d_M_Control_C,control,13513,2,0.015,36046,22,95.455,Male
Zf_35d_M_PGC_A,egfp,9321,3,0.032,24075,17,58.824,Male
Zf_35d_M_PGC_B,egfp,4715,2,0.042,12020,33,21.212,Male
Zf_35d_M_PGC_C,egfp,4275,2,0.047,12057,31,0,Male
Zf_40d_F_Control_A,control,13039,5,0.038,39258,58,91.379,Female
Zf_40d_F_Control_B,control,4539,2,0.044,13287,35,85.714,Female
Zf_40d_F_Control_C,control,7400,1,0.014,19827,12,83.333,Female
Zf_40d_F_PGC_A,egfp,15949,3583,22.465,84419,48518,0.414,Female
Zf_40d_F_PGC_B,egfp,3978,239,6.008,14221,3262,1.87,Female
Zf_40d_F_PGC_C,egfp,4036,544,13.479,17858,7250,0.828,Female
Zf_40d_M_Control_A,control,20976,11,0.052,60715,140,83.571,Male
Zf_40d_M_Control_B,control,14766,0,0,37724,0,0,Male
Zf_40d_M_Control_C,control,4744,1,0.021,14475,14,92.857,Male
Zf_40d_M_PGC_A,egfp,12802,28,0.219,36936,396,13.131,Male
Zf_40d_M_PGC_B,egfp,3735,246,6.586,13306,3400,0.941,Male
Zf_40d_M_PGC_C,egfp,7324,19,0.259,20413,237,7.173,Male
Zf_45d_F_Control_A,control,10162,8,0.079,27731,117,78.632,Female
Zf_45d_F_Control_B,control,8314,2,0.024,23589,34,88.235,Female
Zf_45d_F_Control_C,control,5467,2,0.037,14698,29,58.621,Female
Zf_45d_F_PGC_A_,egfp,4988,141,2.827,15333,1817,1.046,Female
Zf_45d_F_PGC_B,egfp,3234,205,6.339,10698,2911,3.847,Female
Zf_45d_F_PGC_C,egfp,6479,126,1.945,18113,1693,0.65,Female
Zf_45d_M_Control_A,control,11320,5,0.044,30808,69,92.754,Male
Zf_45d_M_Control_B,control,7066,1,0.014,18073,22,86.364,Male
Zf_45d_M_Control_C,control,9278,2,0.022,25219,19,100,Male
Zf_45d_M_PGC_A,egfp,7616,42,0.551,20302,606,4.125,Male
Zf_45d_M_PGC_B,egfp,13233,2,0.015,35150,41,90.244,Male
Zf_45d_M_PGC_C,egfp,12068,4,0.033,30128,60,66.667,Male
Zf_50d_F_Control_A,control,5788,2,0.035,16283,34,52.941,Female_old
Zf_50d_F_Control_B,control,6108,7,0.115,16937,72,87.5,Female_old
Zf_50d_F_Control_C,control,19453,4,0.021,52177,48,85.417,Female_old
Zf_50d_F_PGC_A,egfp,13060,107,0.819,37206,1394,3.443,Female_old
Zf_50d_F_PGC_B,egfp,15077,705,4.676,45955,9042,0.288,Female_old
Zf_50d_F_PGC_C,egfp,18872,3,0.016,50381,31,77.419,Female_old
Zf_50d_M_Control_A,control,19788,2,0.01,54983,22,81.818,Male_old
Zf_50d_M_Control_B,control,24076,3,0.012,67510,42,88.095,Male_old
Zf_50d_M_Control_C,control,30187,3,0.01,78952,41,68.293,Male_old
Zf_50d_M_PGC_A,egfp,19300,6,0.031,52569,95,89.474,Male_old
Zf_50d_M_PGC_B,egfp,14439,6,0.042,38967,71,67.606,Male_old
Zf_50d_M_PGC_C,egfp,14963,117,0.782,40536,1606,0.623,Male_old
Zf_70d_F_Control_A,control,12903,1,0.008,34443,22,95.455,Female_old
Zf_70d_F_Control_B,control,40306,18,0.045,106042,222,84.234,Female_old
Zf_70d_F_Control_C,control,11172,1,0.009,28805,9,88.889,Female_old
Zf_70d_F_PGC_A,egfp,16870,28,0.166,44506,415,11.807,Female_old
Zf_70d_F_PGC_B,egfp,8116,13,0.16,22164,176,57.955,Female_old
Zf_70d_F_PGC_C,egfp,4984,13,0.261,12953,193,16.58,Female_old
Zf_70d_M_Control_A,control,9810,0,0,26618,0,0,Male_old
Zf_70d_M_Control_B,control,3953,2,0.051,11973,26,76.923,Male_old
Zf_70d_M_Control_C,control,5893,0,0,14966,0,0,Male_old
Zf_70d_M_PGC_A,egfp,11195,8,0.071,29106,120,82.5,Male_old
Zf_70d_M_PGC_B,egfp,25929,8,0.031,66302,95,75.789,Male_old
Zf_70d_M_PGC_C,egfp,23215,14,0.06,59895,203,32.02,Male_old